mi_attempt_id	colony_name
19336	CR10470
19111	GPSAB
19206	HGDAB
18908	MPLAB
19203	SCDAB
18798	SCFAB
19108	SMEAB
18742	H-RGS4-DEL887-EM1-B6N
19543	H-OLFM4-DEL1128-EM1-B6N
19543	H-OLFM4-DEL1124-EM2-B6N
20537	BLA4664
19239	CR10416
18976	H-SNCG-DEL438-EM1-B6N
19113	AGPAB
18818	CTTAB
19112	CFBAB
18914	GMSZB
19120	MDCAB
19217	NFVA
19212	OSEAB
18903	PMOAB
19018	ZFNAB
18471	CBPB
18174	BBIPC
14082	ESJAC
14082	ESJCX
17658	jr31650
18952	APSAB
19107	DNJA
19105	MBTAB
19019	NUOAB
19017	STHAB
19104	TITAB
19121	ZFFAB
19106	ZPSAB
18954	CDNAB
19376	jr33346
19398	jr33347
19170	jr33348
17629	jr31647
17586	jr31654
17627	jr31649
17597	jr31655
19309	jr33358
19378	TCPR1259_AECO
19406	jr33366
17642	TCPR1049_ADSN
17484	TCPR1017_ADSP
17592	jr31682
17487	TCPR1020_ADST
18702	SPRAB
19495	jr33352
17644	TCPR1033_ADSO
17647	TCPR1036_ADSQ
17626	jr31684
17628	jr31685
17661	jr31683
18034	jr31686
17622	jr31688
17645	TCPR1034_ADSR
17486	TCPR1019_ADSS
17231	H-SLC17A7-DEL907-EM1-B6N
16195	LEMAB
15472	CR1132
16390	GTPAB
15597	jr29792
14721	TCPR0416_ACWR
15232	TCPR0420_ACXR
15575	BRIAB
15636	SLNAB
15747	TMDAB
15412	ABTNB
15580	NKRAB
15635	SLFAB
15750	DNDAB
16099	CR1361
16104	CR1366
16111	CR1375
16278	jr30440
15574	ADPAB
